,area_type,availability,location,size,society,total_sqft,bath,balcony,price
914,Super built-up  Area,Ready To Move,Tarnaka,2 BHK,DLhtsan,918,2.0,2.0,52.0
917,Built-up  Area,Ready To Move,Krishna Reddy Pet,2 BHK,Foodasa,1170,2.0,3.0,53.0
920,Super built-up  Area,Ready To Move,Krishna Reddy Pet,3 BHK,BrdgeNo,1710,3.0,2.0,107.0
921,Super built-up  Area,Ready To Move,Beeramguda,3 BHK,Prrtht ,1082,2.0,1.0,57.5
926,Super built-up  Area,Ready To Move,Attapur,3 BHK,Asorai ,1554,3.0,2.0,55.0
927,Super built-up  Area,18-Dec,Krishna Reddy Pet,2 BHK,Omter A,1000 - 1285,2.0,0.0,43.415
930,Super built-up  Area,19-Mar,Beeramguda,2 BHK,Skume R,1045,2.0,1.0,98.89
932,Super built-up  Area,Ready To Move,Miyapur,3 BHK,SoechHa,1935,4.0,2.0,130.0
934,Super built-up  Area,Ready To Move,Tellapur,3 BHK,RothaVa,1680,3.0,2.0,150.0
935,Super built-up  Area,19-Jun,Tellapur,4 BHK,Raard B,2470,5.0,2.0,247.0
936,Super built-up  Area,Ready To Move,Tellapur,4 BHK,Prhtsok,2825,4.0,3.0,250.0
937,Super built-up  Area,Ready To Move,Beeramguda,3 BHK,Taonte ,2480,3.0,1.0,330.0
940,Built-up  Area,Ready To Move,Himayat Nagar,3 BHK,Ocrda M,1799,3.0,3.0,90.0
942,Built-up  Area,Ready To Move,Manikonda,1 BHK,Jae 2hu,400,1.0,1.0,11.0
943,Built-up  Area,18-Mar,Miyapur,2 BHK,Dieldli,1047,2.0,1.0,82.0
944,Super built-up  Area,Ready To Move,Miyapur,2 BHK,Kesomrn,1282,2.0,2.0,87.0
947,Super built-up  Area,Ready To Move,Puppalaguda,2 BHK,UKe 2nz,1495,2.0,1.0,79.5
948,Built-up  Area,Ready To Move,Gajularamaram,4 Bedroom,Vaidsi ,3260,4.0,1.0,240.0
950,Super built-up  Area,Ready To Move,Tarnaka,4 BHK,K ncy R,3500,5.0,2.0,425.0
952,Super built-up  Area,Ready To Move,Tarnaka,3 BHK,EsniaGa,1500,2.0,2.0,95.0
954,Super built-up  Area,Ready To Move,Krishna Reddy Pet,3 BHK,Laihai ,1540,3.0,0.0,50.0
955,Super built-up  Area,18-May,Krishna Reddy Pet,3 BHK,Pamesy ,1639,3.0,1.0,80.0
957,Super built-up  Area,Ready To Move,Beeramguda,2 BHK,GrrvaGr,1303,2.0,2.0,55.79
958,Super built-up  Area,Ready To Move,Beeramguda,2 BHK,K ncy R,1005,1.0,1.0,110.0
959,Super built-up  Area,Ready To Move,Krishna Reddy Pet,1 BHK,Puitea ,650 - 665,1.0,0.0,18.41
960,Super built-up  Area,18-Oct,Beeramguda,3 BHK,SunceEs,1305,3.0,1.0,33.28
963,Super built-up  Area,Ready To Move,Krishna Reddy Pet,3 BHK,Saowson,1440,2.0,3.0,68.0
965,Super built-up  Area,Ready To Move,Krishna Reddy Pet,3 BHK,Brway G,1725,3.0,3.0,200.0
969,Super built-up  Area,20-Dec,Attapur,3 BHK,Myple M,1535,3.0,2.0,65.99
971,Super built-up  Area,Ready To Move,Gajularamaram,3 BHK,NRowse ,1464,3.0,2.0,56.0
972,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Spdoren,1350,2.0,3.0,80.0
978,Built-up  Area,Ready To Move,Rhoda Mistri Nagar,2 BHK,Spanda ,650,2.0,0.0,42.0
980,Built-up  Area,Ready To Move,Miyapur,2 BHK,Shelash,950,2.0,3.0,31.0
984,Super built-up  Area,Ready To Move,Habsiguda,2 BHK,Vasta C,1190,2.0,1.0,49.98
987,Super built-up  Area,Ready To Move,Krishna Reddy Pet,3 BHK,SaireSa,1891,3.0,1.0,109.0
989,Super built-up  Area,18-Jul,Krishna Reddy Pet,2 BHK,Mahesr ,1161,2.0,1.0,55.15
990,Super built-up  Area,Ready To Move,Krishna Reddy Pet,1 BHK,DSousyl,633 - 666,1.0,0.0,17.535
993,Super built-up  Area,Ready To Move,Tarnaka,1 BHK,IBityin,665,1.0,1.0,36.85
995,Built-up  Area,Ready To Move,Nallakunta,2 BHK,Goeur G,1425,2.0,2.0,80.0
998,Built-up  Area,Ready To Move,Kukatpally,2 BHK,Abeesmi,1255,2.0,2.0,67.0
999,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,SoisoCa,2112.95,4.0,2.0,145.0
1001,Super built-up  Area,18-Jul,Beeramguda,3 BHK,SNnia E,1810,3.0,2.0,100.0
1006,Built-up  Area,18-Jul,Krishna Reddy Pet,3 BHK,Sryalan,1400,2.0,1.0,40.43
1007,Super built-up  Area,Ready To Move,Narsingi,3 BHK,Graceik,1485,2.0,2.0,67.0
1009,Super built-up  Area,Ready To Move,Puppalaguda,2 BHK,Shvarji,1025,2.0,1.0,44.5
1013,Super built-up  Area,Ready To Move,Miyapur,4 BHK,ArsiaEx,2268,3.0,2.0,163.0
1014,Super built-up  Area,21-Dec,Gajularamaram,3 BHK,PrarePa,1100,3.0,2.0,53.0
1015,Super built-up  Area,Ready To Move,Gajularamaram,2 BHK,VMianri,1141,2.0,0.0,62.0
1016,Built-up  Area,Ready To Move,Bachupally,1 BHK,Jae 1hu,400,1.0,1.0,12.0
1023,Super built-up  Area,Ready To Move,Cherlapalli,3 BHK,Puestol,1843,3.0,2.0,95.84
1026,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Sovar S,1530,2.0,2.0,74.5
1029,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,Prlla C,1246,2.0,1.0,64.5
1030,Super built-up  Area,19-Dec,Kukatpally,1 BHK,GoityEt,711,1.0,1.0,38.0
1031,Super built-up  Area,Ready To Move,Beeramguda,2 BHK,RInceeg,1194,2.0,2.0,46.0
1032,Super built-up  Area,Ready To Move,Beeramguda,3 BHK,ARngsd ,1358,2.0,1.0,43.4
1034,Super built-up  Area,Ready To Move,Krishna Reddy Pet,2 BHK,Goeur G,1420,2.0,2.0,75.0
1037,Super built-up  Area,Ready To Move,Beeramguda,2 BHK,Gruesaf,1209,2.0,1.0,50.0
1040,Super built-up  Area,Ready To Move,Hitech City,3 BHK,Saite G,1315,2.0,1.0,54.8
1043,Super built-up  Area,Ready To Move,Appa Junction,3 BHK,RKncyha,1600,2.0,2.0,65.0
1045,Super built-up  Area,Ready To Move,Appa Junction,3 BHK,AritaFe,1563,3.0,2.0,52.0
1046,Super built-up  Area,Ready To Move,Appa Junction,3 BHK,SRidePr,1560,2.0,2.0,72.0
1050,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,Emine P,3235,3.0,1.0,235.0
1052,Super built-up  Area,Ready To Move,Puppalaguda,2 BHK,NRosete,1140,2.0,2.0,46.0
1055,Super built-up  Area,Ready To Move,Aminpur,2 BHK,Saowsri,1100,2.0,2.0,70.0
1057,Super built-up  Area,18-Mar,Moosapet,2 BHK,Arcia S,1036,2.0,1.0,50.0
1058,Built-up  Area,Ready To Move,Gajularamaram,3 BHK,DLhtsnd,1662,3.0,3.0,85.1
1059,Super built-up  Area,Ready To Move,Aminpur,3 BHK,PuontBe,1464,2.0,3.0,105.0
1060,Super built-up  Area,Ready To Move,Narsingi,2 BHK,NCowsar,1234,2.0,2.0,80.0
1061,Super built-up  Area,Ready To Move,Miyapur,3 BHK,Arldsyo,1403,3.0,1.0,55.0
1065,Built-up  Area,Ready To Move,Appa Junction,4 BHK,RMudeat,3900,4.0,2.0,410.0
1071,Built-up  Area,Ready To Move,Kukatpally,2 BHK,Saarea ,1405,2.0,2.0,70.0
1073,Super built-up  Area,18-Apr,Attapur,4 BHK,SNnia E,2805,4.0,3.0,154.0
1074,Super built-up  Area,Ready To Move,Puppalaguda,2 BHK,IBityin,1161,2.0,2.0,64.08
1075,Super built-up  Area,18-Dec,Rhoda Mistri Nagar,2 BHK,Soena A,1290,2.0,3.0,74.0
1076,Super built-up  Area,Ready To Move,Uppal,3 BHK,IBityin,2557,3.0,2.0,141.0
1077,Built-up  Area,Ready To Move,Tarnaka,3 BHK,Raaden ,1480,3.0,2.0,90.0
1079,Super built-up  Area,20-Dec,Darga Khaliz Khan,3 BHK,SheldGr,1350,3.0,0.0,54.54
1080,Super built-up  Area,Ready To Move,Appa Junction,3 BHK,MSingco,1580,2.0,2.0,65.0
1083,Super built-up  Area,18-Sep,Appa Junction,2 BHK,PualeSk,1346,2.0,1.0,61.92
1088,Super built-up  Area,Ready To Move,Appa Junction,2 BHK,RMncy R,1200,2.0,2.0,35.0
1089,Built-up  Area,Ready To Move,Appa Junction,3 BHK,Pritehi,1340,2.0,2.0,48.33
1091,Super built-up  Area,Ready To Move,Appa Junction,2 BHK,DLhtsan,918,2.0,2.0,48.0
1092,Plot  Area,Ready To Move,Appa Junction,3 Bedroom,CoiewSy,1500,3.0,2.0,115.0
1093,Super built-up  Area,Ready To Move,Darga Khaliz Khan,2 BHK,Velas V,1315,2.0,2.0,85.0
1096,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Aklia R,1330,2.0,1.0,56.0
1098,Super built-up  Area,17-Dec,Miyapur,3 BHK,Ceral C,1824,3.0,3.0,125.0
1099,Super built-up  Area,Ready To Move,Miyapur,3 BHK,Brnia G,1420,2.0,2.0,96.0
1101,Super built-up  Area,Ready To Move,Gajularamaram,3 BHK,ShshaSa,1260,2.0,1.0,60.0
1102,Super built-up  Area,19-Sep,Gajularamaram,3 BHK,Orens G,1561,3.0,2.0,95.0
1106,Super built-up  Area,18-Jul,Appa Junction,2 BHK,SNnia E,1225,2.0,1.0,67.38
1107,Super built-up  Area,Ready To Move,Appa Junction,3 BHK,Soitya ,2144,3.0,2.0,135.0
1109,Super built-up  Area,Ready To Move,Appa Junction,2 BHK,Itelaa ,880,2.0,2.0,29.0
1110,Super built-up  Area,21-Dec,Appa Junction,3 BHK,GoAirej,1639,3.0,2.0,110.0
1111,Built-up  Area,Ready To Move,Appa Junction,3 BHK,Pronyt ,1240,2.0,1.0,62.0
1113,Super built-up  Area,Ready To Move,Appa Junction,2 BHK,RInceeg,1243,2.0,1.0,46.0
1116,Super built-up  Area,Ready To Move,Darga Khaliz Khan,3 BHK,Prrtht ,1082,2.0,1.0,56.0
1118,Super built-up  Area,Ready To Move,Appa Junction,3 BHK,Puestol,1665,3.0,2.0,86.58
1119,Super built-up  Area,18-Dec,Appa Junction,2 BHK,GoontLa,1265,2.0,0.0,56.93
1120,Super built-up  Area,21-Dec,Manikonda,3 BHK,KonteiT,1691,2.0,2.0,102.0
1121,Super built-up  Area,Ready To Move,East Marredpally,2 BHK,SLaceda,1100,2.0,1.0,38.0
1124,Built-up  Area,Ready To Move,Bollaram,4 BHK,Taonte ,3205,5.0,1.0,380.0
1126,Super built-up  Area,Ready To Move,Mallampet,2 BHK,GRhtiru,1115,2.0,2.0,50.0
1127,Super built-up  Area,Ready To Move,Gajularamaram,2 BHK,Brama P,1070,2.0,1.0,45.0
1128,Super built-up  Area,Ready To Move,Beeramguda,2 BHK,Aentsbe,1128,2.0,2.0,105.0
1129,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,PrityTr,1162,2.0,1.0,57.0
1130,Super built-up  Area,Ready To Move,Manikonda,2 BHK,Alivae ,1339,2.0,2.0,55.0
1131,Super built-up  Area,Ready To Move,Begumpet,2 BHK,Neagar ,1192,2.0,2.0,75.0
1132,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,DSimaUl,1920,3.0,1.0,115.0
1133,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Shateor,1255,2.0,1.0,52.32
1134,Super built-up  Area,18-Apr,Hitech City,2 BHK,ProdsWe,1357,2.0,1.0,115.0
1136,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Saersel,1225,2.0,2.0,55.11
1137,Plot  Area,Ready To Move,Hitech City,4 Bedroom,Saark H,2400,4.0,3.0,200.0
1139,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Bhmesy ,1093,2.0,2.0,70.0
1140,Built-up  Area,Ready To Move,Hitech City,3 BHK,Suncy R,1865,3.0,3.0,145.0
1142,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Srsica ,1039,2.0,2.0,80.0
1143,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Prlla C,1246,2.0,1.0,64.5
1144,Super built-up  Area,Ready To Move,Hitech City,3 BHK,Suent V,1985,3.0,2.0,75.0
1145,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,APncyla,1590,3.0,3.0,49.0
1146,Plot  Area,Ready To Move,Kondapur,4 Bedroom,EmardBo,4000,4.0,2.0,675.0
1147,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Assha A,775,2.0,2.0,38.0
1148,Super built-up  Area,Ready To Move,Kondapur,2 BHK,PancyRe,1000,2.0,1.0,50.0
1149,Super built-up  Area,Ready To Move,Kondapur,3 BHK,Goateds,1800,3.0,2.0,175.0
1150,Super built-up  Area,18-Jun,Kondapur,2 BHK,SSestth,1035,2.0,1.0,41.0
1151,Super built-up  Area,Ready To Move,Kondapur,3 BHK,Syonyph,1520,2.0,1.0,75.0
1152,Super built-up  Area,Ready To Move,Kondapur,2 BHK,BrlisCo,1360,2.0,1.0,95.0
1153,Plot  Area,Ready To Move,Kondapur,4 Bedroom,FeowsMe,6000,5.0,3.0,400.0
1154,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Shyas S,1117,2.0,2.0,56.0
1155,Plot  Area,Ready To Move,Kondapur,4 Bedroom,Esnamin,1200,4.0,3.0,120.0
1156,Super built-up  Area,Ready To Move,Kondapur,2 BHK,BrontLa,1330,2.0,1.0,92.5
1157,Super built-up  Area,Ready To Move,Hitex Road,3 BHK,Prionad,1937,3.0,2.0,160.0
1158,Super built-up  Area,18-Aug,Manikonda,2 BHK,Prarkun,1128,2.0,1.0,65.49
1159,Super built-up  Area,Ready To Move,Hitech City,2 BHK,NatisAt,1053,2.0,1.0,45.0
1160,Super built-up  Area,18-May,Hitech City,2 BHK,Prcesvy,1198,2.0,1.0,77.0
1161,Super built-up  Area,18-Apr,Hitech City,2 BHK,Spows M,1152,2.0,1.0,56.0
1163,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Maentr ,1625,2.0,1.0,75.0
1164,Super built-up  Area,Ready To Move,Puppalaguda,3 BHK,Dieldli,1397,3.0,3.0,105.0
1165,Super built-up  Area,Ready To Move,Begumpet,3 BHK,Saade E,1523,3.0,3.0,170.0
1166,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,Prrtht ,883,2.0,1.0,45.0
1167,Super built-up  Area,Ready To Move,Kondapur,1 BHK,Baowsig,700,1.0,0.0,38.0
1168,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Neite T,1170,2.0,1.0,62.5
1169,Super built-up  Area,Ready To Move,Sanath Nagar,3 BHK,Shiew T,1200,2.0,2.0,42.0
1172,Super built-up  Area,Ready To Move,Nallagandla Gachibowli,3 BHK,DLhtsnd,1897,3.0,2.0,120.0
1174,Super built-up  Area,18-May,Balanagar,3 BHK,SNnia E,1875,3.0,2.0,110.0
1176,Super built-up  Area,Ready To Move,Balanagar,3 BHK,Maens G,3095,3.0,3.0,350.0
1177,Super built-up  Area,Ready To Move,Balanagar,3 BHK,SJarkte,1390,2.0,1.0,175.0
1178,Super built-up  Area,20-Dec,Balanagar,3 BHK,Un 46th,1445 - 1455,3.0,0.0,65.255
1179,Super built-up  Area,17-Nov,Nallagandla Gachibowli,1 BHK,Prensya,697,1.0,0.0,45.0
1180,Built-up  Area,Ready To Move,Nallagandla Gachibowli,1 BHK,Shthi S,710,1.0,1.0,27.0
1181,Carpet  Area,Ready To Move,Nallagandla Gachibowli,2 BHK,VaoldMa,910,2.0,1.0,30.5
1182,Built-up  Area,Ready To Move,Manikonda,3 BHK,Suiseit,1025,2.0,1.0,48.0
1183,Super built-up  Area,18-Aug,Manikonda,2 BHK,Vrenty ,884 - 1116,2.0,0.0,46.5
1186,Super built-up  Area,Ready To Move,Sanath Nagar,4 BHK,Adeatlm,3335,5.0,2.0,300.0
1187,Super built-up  Area,18-Mar,Sanath Nagar,2 BHK,SLityee,850 - 1093,2.0,0.0,36.435
1190,Built-up  Area,Ready To Move,Sanath Nagar,2 BHK,DSingSt,1024,2.0,2.0,42.0
1191,Built-up  Area,Ready To Move,Nallagandla Gachibowli,3 BHK,Suashen,1620,3.0,2.0,62.0
1192,Super built-up  Area,Ready To Move,Nallagandla Gachibowli,2 BHK,SSthamh,1254,2.0,2.0,40.0
1193,Built-up  Area,Ready To Move,Nallagandla Gachibowli,3 BHK,Skave E,1300,2.0,2.0,75.0
1196,Super built-up  Area,18-Oct,Nallagandla Gachibowli,3 BHK,PuendWe,1510,2.0,1.0,105.0
1197,Super built-up  Area,Ready To Move,Balanagar,2 BHK,Baowsig,950,2.0,1.0,65.0
1198,Super built-up  Area,Ready To Move,Balanagar,3 BHK,PaontWa,1945,3.0,2.0,97.42
1199,Super built-up  Area,Ready To Move,Balanagar,2 BHK,Shierhi,1008,2.0,3.0,45.0
1200,Super built-up  Area,Ready To Move,Balanagar,3 BHK,Bhmesy ,1265,2.0,1.0,79.0
1201,Super built-up  Area,19-Dec,Balanagar,3 BHK,Magiaya,1255,2.0,1.0,77.68
1202,Built-up  Area,18-Dec,Nallagandla Gachibowli,4 BHK,PrityFa,2689,6.0,2.0,220.0
1204,Super built-up  Area,19-Dec,Nallagandla Gachibowli,3 BHK,Daivon ,1403,3.0,3.0,51.63
1205,Super built-up  Area,Ready To Move,Nallagandla Gachibowli,3 BHK,Srier P,1535,3.0,2.0,85.0
1207,Super built-up  Area,Ready To Move,Manikonda,3 BHK,SihtsHe,1475,2.0,2.0,120.0
1210,Super built-up  Area,Ready To Move,Manikonda,2 BHK,AbnceEs,1133,2.0,2.0,55.0
1215,Super built-up  Area,18-Dec,Manikonda,3 BHK,Prtates,1697,3.0,2.0,94.79
1217,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Siace P,1560,3.0,1.0,188.0
1218,Super built-up  Area,17-Apr,Manikonda,3 BHK,Koagati,1192,2.0,1.0,60.0
1221,Super built-up  Area,Ready To Move,Manikonda,2 BHK,Salisal,1349,2.0,2.0,78.0
1223,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Eladero,1680,3.0,2.0,120.0
1226,Built-up  Area,Ready To Move,Manikonda,2 BHK,SLnorMa,820,2.0,0.0,39.0
1227,Plot  Area,Ready To Move,Manikonda,4 Bedroom,Skensk ,5000,4.0,3.0,400.0
1229,Super built-up  Area,Ready To Move,Manikonda,2 BHK,Sothin ,856,2.0,3.0,40.0
1230,Super built-up  Area,18-Feb,Manikonda,3 BHK,Puwerun,1621,4.0,0.0,130.0
1232,Super built-up  Area,Ready To Move,Manikonda,3 BHK,TGjraVa,1484,3.0,2.0,52.5
1234,Plot  Area,Ready To Move,Manikonda,4 Bedroom,Apavea ,14000,3.0,2.0,800.0
1235,Super built-up  Area,Ready To Move,Manikonda,1 BHK,KHatsFl,500,1.0,1.0,20.0
1239,Built-up  Area,Ready To Move,Boiguda,2 BHK,Itelaa ,550,1.0,1.0,16.0
1240,Built-up  Area,Ready To Move,Manikonda,3 BHK,PancyRe,1384,3.0,2.0,62.28
1242,Built-up  Area,Ready To Move,Shaikpet,2 BHK,Sungsha,1150,2.0,1.0,49.0
1244,Built-up  Area,Ready To Move,ECIL,4 BHK,Adsia F,2150,4.0,1.0,100.0
1247,Built-up  Area,Ready To Move,Nizampet,3 BHK,ArnzaFi,1508,3.0,2.0,70.25
1248,Built-up  Area,Ready To Move,Nizampet,2 BHK,Foghaa ,1040,2.0,2.0,50.0
1249,Plot  Area,Ready To Move,Nizampet,2 Bedroom,Lancy R,1240,2.0,1.0,60.0
1250,Super built-up  Area,Ready To Move,Shaikpet,3 BHK,Srier P,1535,3.0,1.0,78.0
1251,Built-up  Area,Ready To Move,ECIL Main Road,2 BHK,RothaVa,1180,2.0,2.0,75.0
1253,Super built-up  Area,Ready To Move,Hitech City,2 BHK,SNity S,1400,2.0,2.0,78.0
1255,Plot  Area,Ready To Move,Narsingi,4 Bedroom,Pronege,4800,4.0,3.0,525.0
1256,Super built-up  Area,Ready To Move,Sanath Nagar,3 BHK,Puallhi,1984,4.0,1.0,146.0
1257,Plot  Area,Ready To Move,Manikonda,4 Bedroom,VDe 1Du,3000,5.0,3.0,250.0
1258,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,BrlisMe,1960,3.0,3.0,160.0
1259,Super built-up  Area,Ready To Move,Rajbhavan Road Somajiguda,2 BHK,Shthi S,1035,2.0,1.0,45.0
1261,Built-up  Area,Ready To Move,Beeramguda,3 BHK,Mithmn ,1700,3.0,2.0,115.0
1262,Super built-up  Area,Ready To Move,Ramachandra Puram,4 BHK,Taonte ,3024,5.0,1.0,248.0
1263,Super built-up  Area,21-Jan,Ramachandra Puram,3 BHK,Sapus S,1586,3.0,1.0,100.0
1265,Plot  Area,Ready To Move,TellapurOsman Nagar Road,4 Bedroom,Theanmp,2325,4.0,1.0,120.0
1266,Super built-up  Area,Ready To Move,Mansoorabad,2 BHK,Rarthne,1120,2.0,2.0,55.0
1268,Super built-up  Area,Ready To Move,TellapurOsman Nagar Road,2 BHK,CharkGr,1128,2.0,2.0,59.0
1270,Super built-up  Area,Ready To Move,Tellapur,2 BHK,DLhtsan,924,2.0,2.0,65.0
1271,Super built-up  Area,Ready To Move,ECIL,3 BHK,AritaFe,1600,3.0,2.0,52.0
1273,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Srncy R,1200,2.0,2.0,55.0
1276,Built-up  Area,Ready To Move,Sanath Nagar,2 BHK,VBownre,957,2.0,1.0,56.0
1277,Super built-up  Area,Ready To Move,Madhapur,2 BHK,SSthamh,1140,2.0,2.0,41.0
1278,Super built-up  Area,Ready To Move,Kondapur,2 BHK,RortsCo,1050,2.0,1.0,67.0
1280,Super built-up  Area,Ready To Move,Kondapur,2 BHK,GClmsun,1190,2.0,3.0,57.0
1282,Built-up  Area,Ready To Move,Gajularamaram,3 BHK,SoapeSu,1558.67,2.0,2.0,65.0
1284,Super built-up  Area,Ready To Move,Nanakramguda,3 BHK,Iseenst,1403,2.0,2.0,60.81
1285,Super built-up  Area,Ready To Move,Kokapet,3 BHK,SLourle,1542,2.0,3.0,85.0
1286,Built-up  Area,Ready To Move,Bandlaguda Jagir,4 Bedroom,IDlleri,2750,4.0,0.0,220.0
1287,Super built-up  Area,Ready To Move,Bandlaguda Jagir,4 BHK,Emine P,3596,5.0,1.0,290.0
1291,Super built-up  Area,Ready To Move,TellapurOsman Nagar Road,3 BHK,Puceswn,1596,3.0,1.0,105.0
1292,Super built-up  Area,17-Nov,Tellapur,2 BHK,Unm 2El,1009,2.0,1.0,38.34
1293,Super built-up  Area,18-Jul,ECIL Cross Road,3 BHK,Mahesr ,1726,3.0,2.0,81.99
1294,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Srier P,1535,3.0,2.0,86.0
1296,Plot  Area,Ready To Move,Shaikpet,4 Bedroom,Adowslm,3100,4.0,2.0,465.0
1298,Super built-up  Area,19-Dec,ECIL Main Road,1 BHK,Shestlo,665,1.0,0.0,50.75
1301,Built-up  Area,Ready To Move,ECIL,2 BHK,Sothin ,925,2.0,2.0,48.0
1303,Super built-up  Area,Ready To Move,Hitech City,2 BHK,ArzzaRe,1395,2.0,1.0,63.59
1304,Super built-up  Area,Ready To Move,Hitech City,3 BHK,DSgam S,1415,2.0,1.0,55.0
1305,Super built-up  Area,Ready To Move,Hitech City,3 BHK,Arera V,1419,2.0,2.0,59.0
1306,Super built-up  Area,18-Feb,Pragati Nagar,2 BHK,Brersge,1121,2.0,2.0,78.0
1308,Super built-up  Area,18-Jun,TellapurOsman Nagar Road,2 BHK,MCnexva,1100,2.0,1.0,47.0
1309,Super built-up  Area,Ready To Move,Tellapur,3 BHK,Keers S,1606,3.0,3.0,89.55
1311,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Niateki,4634,4.0,3.0,1015.0
1312,Super built-up  Area,Ready To Move,Narsingi,2 BHK,Vadel C,1206,2.0,3.0,75.0
1313,Built-up  Area,Ready To Move,Narsingi,3 BHK,HIideSu,1495,2.0,0.0,64.0
1315,Super built-up  Area,Ready To Move,Narsingi,2 BHK,Itelaa ,710,2.0,2.0,16.0
1317,Super built-up  Area,Ready To Move,Gandipet,3 BHK,DSesthr,1523,2.0,2.0,53.4
1318,Super built-up  Area,Ready To Move,Gandipet,2 BHK,Krine C,1232,2.0,2.0,45.0
1319,Super built-up  Area,20-Aug,Gandipet,1 BHK,AsNowre,680,1.0,1.0,44.0
1320,Super built-up  Area,19-Dec,Gandipet,3 BHK,Magiaya,1355,3.0,1.0,83.87
1321,Super built-up  Area,Ready To Move,Gandipet,3 BHK,MenueNo,1430,2.0,2.0,51.46
1323,Super built-up  Area,Ready To Move,Kokapet,2 BHK,GMown E,1070,2.0,1.0,56.1
1327,Super built-up  Area,Ready To Move,Kokapet,3 BHK,SatatHa,1610,3.0,1.0,90.0
1328,Super built-up  Area,Ready To Move,Kokapet,2 BHK,RInceeg,1140,2.0,2.0,43.0
1329,Super built-up  Area,Ready To Move,Kokapet,2 BHK,GrrvaGr,1143,2.0,2.0,38.65
1330,Super built-up  Area,22-May,Kokapet,4 BHK,SoineC ,3467.86,6.0,3.0,249.0
1331,Super built-up  Area,Ready To Move,Sainikpuri,3 BHK,Sovar S,1530,2.0,2.0,74.4
1332,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Brnia G,980,2.0,2.0,69.0
1333,Super built-up  Area,Ready To Move,Tellapur,3 BHK,ChodsGr,1485,3.0,2.0,65.0
1334,Plot  Area,18-May,Bandlaguda Jagir,3 Bedroom,WoarkEm,1500,3.0,1.0,130.0
1335,Super built-up  Area,18-Oct,LB Nagar,2 BHK,Umods W,1280,2.0,1.0,75.0
1336,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Bhmesy ,1265,2.0,2.0,85.0
1338,Super built-up  Area,Ready To Move,LB Nagar,2 BHK,SJcerpe,1262,2.0,2.0,63.0
1339,Super built-up  Area,Ready To Move,Tellapur,2 BHK,Maentor,940,2.0,1.0,49.0
1341,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,DLhtsan,1300,3.0,3.0,150.0
1343,Built-up  Area,Ready To Move,Paramount Colony Toli Chowki,2 BHK,Itvir M,890,2.0,2.0,45.0
1345,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,SaireSa,2060,3.0,1.0,149.0
1346,Super built-up  Area,Ready To Move,ECIL,3 BHK,SNeur G,1730,3.0,1.0,96.0
1347,Built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,Leilo E,2195,4.0,2.0,127.0
1351,Super built-up  Area,19-Oct,Kukatpally,2 BHK,Caiya D,1085,2.0,1.0,36.0
1358,Super built-up  Area,21-Jul,TellapurOsman Nagar Road,3 BHK,GoAirej,1639,3.0,1.0,98.32
1360,Super built-up  Area,21-Jun,muthangi,3 BHK,Saityat,1739,3.0,1.0,116.0
1362,Super built-up  Area,20-Dec,Attapur,2 BHK,Shmes O,935,2.0,1.0,32.72
1363,Super built-up  Area,21-Nov,Attapur,1 RK,Bhe 2ko,510,1.0,1.0,25.25
1365,Super built-up  Area,Ready To Move,Narsingi,2 BHK,PrestSe,1178,2.0,3.0,47.0
1366,Built-up  Area,Ready To Move,Narsingi,3 BHK,Siourpl,1375,2.0,1.0,50.0
1367,Super built-up  Area,Ready To Move,Narsingi,3 BHK,Halms S,1065,2.0,1.0,33.0
1373,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,Wiass G,1835,2.0,3.0,155.0
